CustomerName;Age;MaritalStatus;Gender;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;CustomerType;CustomerScore
Jessie Zhao;78;M;M;30000,00;2;0;Partial College;Clerical;1;2;Person;Poor
Jill Jimenez;78;M;F;30000,00;2;0;Partial College;Clerical;1;2;Person;Poor
Jimmy Moreno;78;M;M;30000,00;2;0;Partial College;Clerical;1;2;Person;Poor
Bethany Yuan;77;M;F;10000,00;2;1;Partial High School;Clerical;1;2;Person;Poor
Theresa Ramos;77;M;F;20000,00;4;0;High School;Skilled Manual;1;2;Person;Poor
Denise Stone;77;M;F;20000,00;4;0;High School;Skilled Manual;1;2;Person;Poor
Jaime Nath;77;M;M;20000,00;4;0;High School;Skilled Manual;1;2;Person;Poor
Ebony Gonzalez;77;M;F;20000,00;4;0;High School;Skilled Manual;1;2;Person;Poor
Wendy Dominguez;76;M;F;10000,00;2;1;Partial High School;Clerical;1;2;Person;Poor
Jennifer Russell;46;M;F;60000,00;0;0;Partial College;Skilled Manual;1;2;Person;Good
Chloe Garcia;47;S;F;40000,00;0;0;Partial High School;Clerical;0;2;Person;Standard
Diana Hernandez;76;M;F;10000,00;2;1;Partial High School;Clerical;1;2;Person;Poor
Marc Martin;76;M;M;30000,00;3;0;Partial College;Clerical;1;2;Person;Poor
Jesse Murphy;47;M;M;30000,00;0;0;Partial College;Skilled Manual;1;2;Person;Poor
Amanda Carter;47;M;F;60000,00;0;0;Partial College;Skilled Manual;1;2;Person;Good
Megan Sanchez;47;M;F;70000,00;0;0;Partial College;Skilled Manual;1;2;Person;Good
Nathan Simmons;48;M;M;60000,00;0;0;Partial College;Skilled Manual;1;2;Person;Good
Adam Flores;75;M;M;20000,00;2;1;Partial High School;Clerical;1;2;Person;Poor
Leonard Nara;74;S;M;30000,00;3;0;High School;Skilled Manual;0;2;Person;Poor
Christine Yuan;74;M;F;30000,00;3;0;High School;Skilled Manual;1;2;Person;Poor
Jaclyn Lu;74;M;F;30000,00;3;0;High School;Skilled Manual;0;2;Person;Poor
Jeremy Powell;74;M;M;30000,00;3;0;High School;Skilled Manual;1;2;Person;Poor
Carol Rai;44;S;F;40000,00;0;0;Partial High School;Clerical;1;2;Person;Standard
Alan Zheng;73;M;M;30000,00;3;0;High School;Skilled Manual;1;2;Person;Poor
Daniel Johnson;73;S;M;30000,00;3;0;High School;Skilled Manual;0;2;Person;Poor
Heidi Lopez;73;S;F;40000,00;2;0;Partial College;Clerical;0;2;Person;Standard
Ana Price;44;M;F;60000,00;0;0;Partial College;Skilled Manual;0;2;Person;Good
Deanna Munoz;72;M;F;40000,00;2;0;Partial College;Skilled Manual;1;2;Person;Standard
Gilbert Raje;72;M;M;40000,00;2;0;Partial College;Skilled Manual;1;2;Person;Standard
Michele Nath;71;M;F;40000,00;3;0;Partial College;Skilled Manual;1;2;Person;Poor
Carl Andersen;71;M;M;70000,00;2;0;Graduate Degree;Management;1;2;Person;Standard
Marc Diaz;70;M;M;80000,00;2;0;Partial College;Skilled Manual;1;2;Person;Standard
Ashlee Andersen;70;S;F;80000,00;2;0;Partial College;Skilled Manual;1;2;Person;Standard
Jon Zhou;70;M;M;80000,00;2;0;Partial College;Skilled Manual;1;2;Person;Standard
Todd Gao;70;M;M;80000,00;2;0;Partial College;Skilled Manual;1;2;Person;Standard
Noah Powell;49;M;M;40000,00;0;0;High School;Skilled Manual;1;2;Person;Standard
Angela Murphy;49;S;F;40000,00;0;0;High School;Skilled Manual;1;2;Person;Standard
Chase Reed;49;M;M;40000,00;0;0;High School;Skilled Manual;1;2;Person;Standard
Jessica Henderson;51;M;F;60000,00;0;0;Partial College;Skilled Manual;0;2;Person;Good
Grace Butler;51;M;F;70000,00;0;0;Partial College;Professional;1;2;Person;Good
Caleb Carter;48;S;M;60000,00;0;0;Partial College;Professional;1;2;Person;Good
Tiffany Liang;69;S;F;80000,00;2;0;High School;Skilled Manual;1;2;Person;Standard
Carolyn Navarro;69;S;F;80000,00;2;0;High School;Skilled Manual;0;2;Person;Standard
Willie Raji;69;M;M;80000,00;2;0;High School;Skilled Manual;1;2;Person;Standard
Linda Serrano;69;S;F;80000,00;2;0;High School;Skilled Manual;1;2;Person;Standard
Casey Luo;69;S;F;80000,00;2;0;High School;Skilled Manual;0;2;Person;Standard
Amy Ye;68;S;F;70000,00;2;0;High School;Skilled Manual;1;2;Person;Standard
Levi Arun;68;S;M;70000,00;2;0;High School;Skilled Manual;1;2;Person;Standard
Felicia Jimenez;67;S;F;80000,00;2;0;High School;Professional;1;2;Person;Standard
Blake Anderson;67;S;M;80000,00;2;0;High School;Professional;1;2;Person;Standard
Leah Ye;67;S;F;80000,00;2;0;High School;Professional;0;2;Person;Standard
Gina Martin;50;S;F;40000,00;0;0;High School;Professional;0;2;Person;Standard
Donald Gonzalez;65;S;M;160000,00;0;0;Graduate Degree;Management;1;2;Person;Good
Damien Chander;65;M;M;170000,00;0;0;Graduate Degree;Management;1;2;Person;Good
Savannah Baker;58;M;F;120000,00;2;2;Bachelors;Management;1;3;Person;Good
Angela Butler;58;S;F;130000,00;0;1;Graduate Degree;Management;0;3;Person;Good
Alyssa Cox;58;M;F;130000,00;0;1;Graduate Degree;Management;1;3;Person;Good
Lucas Phillips;67;S;M;80000,00;2;0;Partial High School;Skilled Manual;0;2;Person;Standard
Emily Johnson;67;S;F;60000,00;2;0;High School;Professional;0;2;Person;Standard
Ryan Brown;67;M;M;70000,00;2;1;Partial College;Professional;1;0;Person;Standard
Tamara Liang;67;M;F;70000,00;3;2;Partial College;Professional;0;0;Person;Standard
Hunter Davis;67;M;M;80000,00;2;1;Bachelors;Management;1;0;Person;Standard
Abigail Price;67;S;F;80000,00;2;1;Bachelors;Management;1;1;Person;Standard
Trevor Bryant;67;S;M;90000,00;2;0;Partial College;Professional;1;1;Person;Standard
Dalton Perez;67;M;M;90000,00;2;0;Partial College;Professional;1;1;Person;Standard
Cheryl Diaz;57;M;F;90000,00;2;2;Bachelors;Professional;1;0;Person;Standard
Aimee He;57;M;F;100000,00;0;0;Graduate Degree;Management;1;0;Person;Good
Cedric Ma;62;S;M;70000,00;1;0;Partial College;Skilled Manual;0;1;Person;Good
Chad Kumar;62;S;M;70000,00;1;0;Partial College;Skilled Manual;1;1;Person;Good
Andrés Anand;62;M;M;60000,00;1;0;Bachelors;Professional;1;1;Person;Good
Edwin Nara;63;M;M;60000,00;1;0;Partial College;Skilled Manual;1;1;Person;Good
Mallory Rubio;63;S;F;60000,00;1;0;Partial College;Skilled Manual;0;1;Person;Good
Adam Ross;63;M;M;60000,00;1;0;Bachelors;Professional;1;1;Person;Good
Latasha Navarro;64;S;F;60000,00;1;0;Partial College;Skilled Manual;1;1;Person;Good
Abby Sai;59;S;F;70000,00;0;0;Bachelors;Professional;0;1;Person;Good
Julia Nelson;59;S;F;80000,00;5;5;Bachelors;Professional;1;4;Person;Poor
Cassie Chande;60;S;F;70000,00;0;0;Bachelors;Professional;1;1;Person;Good
Edgar Sara;60;M;M;70000,00;0;0;Bachelors;Professional;0;1;Person;Good
Candace Fernandez;60;S;F;70000,00;0;0;Bachelors;Professional;0;1;Person;Good
Jessie Liu;60;S;M;70000,00;0;0;Bachelors;Professional;0;1;Person;Good
Bianca Lin;65;M;F;90000,00;1;0;Bachelors;Professional;1;1;Person;Good
Kari Alvarez;61;S;F;70000,00;0;0;Bachelors;Professional;0;2;Person;Good
Ruben Kapoor;61;S;M;70000,00;0;0;Bachelors;Professional;0;2;Person;Good
Curtis Yang;62;M;M;60000,00;1;0;Partial College;Skilled Manual;1;1;Person;Good
Meredith Gutierrez;62;M;F;60000,00;1;0;Partial College;Skilled Manual;1;1;Person;Good
Crystal Wang;62;M;F;60000,00;1;0;Partial College;Skilled Manual;1;1;Person;Good
Micheal Blanco;62;M;M;70000,00;5;4;Bachelors;Professional;1;2;Person;Poor
Leslie Moreno;62;S;F;70000,00;5;4;Partial College;Skilled Manual;1;2;Person;Poor
Alvin Cai;62;M;M;70000,00;5;4;Partial College;Skilled Manual;1;2;Person;Poor
Clinton Carlson;62;M;M;70000,00;5;4;Partial College;Skilled Manual;1;2;Person;Poor
April Deng;63;M;F;70000,00;5;4;Partial College;Skilled Manual;1;3;Person;Poor
Alvin Zeng;67;S;M;80000,00;1;0;Partial College;Skilled Manual;0;1;Person;Good
Evan James;89;S;M;30000,00;2;0;Partial College;Clerical;0;2;Person;Poor
Beth Jiménez;88;S;F;40000,00;2;0;Bachelors;Management;1;1;Person;Standard
Orlando Suarez;64;M;M;70000,00;5;4;Partial College;Skilled Manual;1;3;Person;Poor
Byron Vazquez;64;M;M;70000,00;5;4;Partial College;Skilled Manual;1;3;Person;Poor
Philip Alvarez;64;M;M;70000,00;5;4;Partial College;Skilled Manual;1;3;Person;Poor
Ross Jordan;67;S;M;80000,00;1;0;Partial College;Skilled Manual;1;1;Person;Good
Dana Navarro;68;S;F;70000,00;1;0;Partial College;Skilled Manual;1;1;Person;Good
Shaun Carson;75;M;M;10000,00;2;1;High School;Skilled Manual;0;2;Person;Poor
Jan Edwards;49;M;F;40000,00;0;0;High School;Skilled Manual;1;1;Person;Good
Samantha Long;49;M;F;40000,00;0;0;High School;Skilled Manual;1;1;Person;Good
Julia Wright;49;S;F;40000,00;0;0;High School;Skilled Manual;1;1;Person;Good
Caroline Russell;44;M;F;30000,00;0;0;High School;Skilled Manual;1;2;Person;Poor
Amanda Rivera;44;M;F;30000,00;0;0;High School;Skilled Manual;0;2;Person;Poor
Melissa Richardson;44;S;F;30000,00;0;0;High School;Skilled Manual;0;2;Person;Poor
Angela Griffin;44;S;F;30000,00;0;0;Partial High School;Clerical;0;2;Person;Poor
Larry Townsend;78;S;M;10000,00;5;0;High School;Skilled Manual;1;2;Person;Poor
Marcus Harris;45;S;M;30000,00;0;0;Partial High School;Clerical;0;2;Person;Poor
Brianna Morgan;46;S;F;40000,00;0;0;High School;Skilled Manual;0;2;Person;Standard
Jasmine Taylor;46;M;F;40000,00;0;0;High School;Skilled Manual;1;2;Person;Standard
Lauren Davis;46;M;F;40000,00;0;0;High School;Skilled Manual;0;2;Person;Standard
Tanya Moreno;86;S;F;30000,00;2;0;Partial College;Clerical;0;2;Person;Poor
Javier Alvarez;47;S;M;30000,00;0;0;Partial High School;Clerical;0;2;Person;Poor
Nicole Ramirez;47;M;F;40000,00;0;0;High School;Skilled Manual;0;2;Person;Standard
Eduardo Patterson;47;S;M;40000,00;0;0;High School;Skilled Manual;0;2;Person;Standard
Jonathan Henderson;47;M;M;40000,00;0;0;High School;Skilled Manual;1;2;Person;Standard
Edward Hernandez;45;S;M;40000,00;0;0;High School;Skilled Manual;0;2;Person;Standard
Jasmine Coleman;45;S;F;40000,00;0;0;High School;Skilled Manual;0;2;Person;Standard
Karla Goel;85;S;F;40000,00;2;0;Bachelors;Management;1;2;Person;Standard
Ernest Wu;85;M;M;60000,00;2;0;Graduate Degree;Management;1;1;Person;Standard
Ross Vazquez;83;M;M;40000,00;2;0;Bachelors;Management;1;2;Person;Standard
Theodore Gill;83;M;M;40000,00;2;0;Bachelors;Management;1;2;Person;Standard
Russell Shen;83;S;M;40000,00;2;0;Bachelors;Management;1;2;Person;Standard
Melinda Gill;82;S;F;60000,00;2;0;Graduate Degree;Management;0;1;Person;Standard
James Williams;48;S;M;40000,00;0;0;High School;Skilled Manual;1;2;Person;Standard
Angela James;48;M;F;40000,00;0;0;High School;Skilled Manual;1;2;Person;Standard
Megan Walker;48;S;F;40000,00;0;0;Partial College;Skilled Manual;1;1;Person;Good
Hunter Robinson;48;S;M;40000,00;0;0;Partial College;Skilled Manual;0;1;Person;Good
Maria Roberts;48;S;F;40000,00;0;0;Partial College;Skilled Manual;0;1;Person;Good
Hannah Long;49;M;F;40000,00;0;0;High School;Skilled Manual;1;2;Person;Standard
Jason Wright;49;S;M;40000,00;0;0;High School;Skilled Manual;1;2;Person;Standard
Brianna Hughes;49;S;F;40000,00;0;0;High School;Skilled Manual;0;2;Person;Standard
Maurice Tang;50;S;M;40000,00;0;0;Partial College;Skilled Manual;0;1;Person;Good
Emily Wood;50;S;F;40000,00;0;0;Partial College;Skilled Manual;0;1;Person;Good
Chase Cox;50;S;M;40000,00;0;0;Partial College;Skilled Manual;1;1;Person;Good
Gabriel Wang;50;M;M;40000,00;0;0;Partial College;Skilled Manual;1;1;Person;Good
Devin Brooks;50;S;M;40000,00;0;0;Partial College;Skilled Manual;0;1;Person;Good
Jocelyn Alexander;51;M;F;60000,00;0;0;Partial College;Skilled Manual;0;1;Person;Good
Ashley Martinez;52;S;F;70000,00;0;0;Partial College;Skilled Manual;0;2;Person;Good
Jasmine Barnes;52;S;F;80000,00;0;0;Bachelors;Management;0;1;Person;Good
David Rodriguez;56;S;M;80000,00;0;0;Bachelors;Management;0;1;Person;Good
Bryce Richardson;56;M;M;90000,00;4;4;Bachelors;Management;1;1;Person;Standard
Carol Howard;56;M;F;90000,00;4;4;Bachelors;Management;1;1;Person;Standard
Jonathan Hill;57;S;M;100000,00;1;0;Bachelors;Management;1;2;Person;Good
Gabrielle Adams;57;M;F;100000,00;1;0;Bachelors;Management;1;2;Person;Good
Sarah Thomas;57;S;F;110000,00;0;0;Graduate Degree;Management;0;4;Person;Good
Nicholas Robinson;57;M;M;110000,00;0;1;Graduate Degree;Management;1;0;Person;Good
Luis Wang;61;S;M;70000,00;0;0;Partial College;Skilled Manual;1;2;Person;Good
Mason Roberts;56;M;M;90000,00;4;4;Bachelors;Management;1;1;Person;Standard
Jose Flores;82;M;M;110000,00;2;4;Graduate Degree;Management;1;2;Person;Good
Nathan Johnson;81;M;M;100000,00;2;3;Graduate Degree;Management;1;3;Person;Good
Molly Rodriguez;81;M;F;120000,00;2;4;Graduate Degree;Management;1;3;Person;Good
April Anand;81;M;F;160000,00;1;3;Bachelors;Management;1;4;Person;Good
Devin Martin;81;M;M;170000,00;2;3;Graduate Degree;Management;1;2;Person;Good
Stephanie Torres;80;S;F;70000,00;4;0;Bachelors;Management;1;2;Person;Standard
Jasmine Lee;80;S;F;70000,00;4;0;Bachelors;Management;1;2;Person;Standard
Meghan Hernandez;80;S;F;70000,00;4;0;Bachelors;Management;1;2;Person;Standard
Ashley Henderson;80;S;F;70000,00;4;0;Bachelors;Management;1;2;Person;Standard
Sarah Price;80;S;F;70000,00;4;0;Bachelors;Management;1;2;Person;Standard
Jennifer Cooper;80;M;F;60000,00;4;0;Graduate Degree;Management;1;2;Person;Poor
Catherine Morris;80;M;F;60000,00;4;0;Graduate Degree;Management;0;2;Person;Poor
Lawrence Blanco;80;S;M;60000,00;4;0;Graduate Degree;Management;1;2;Person;Poor
Carson Bryant;80;M;M;70000,00;5;0;Bachelors;Management;1;2;Person;Poor
Kristi Perez;79;S;F;70000,00;5;0;Bachelors;Management;1;3;Person;Poor
James Brown;79;M;M;60000,00;4;0;Bachelors;Management;1;2;Person;Poor
Ian Gray;79;M;M;60000,00;4;0;Bachelors;Management;1;2;Person;Poor
Jacqueline Price;79;M;F;60000,00;4;0;Bachelors;Management;1;2;Person;Poor
Megan Henderson;78;M;F;60000,00;5;0;Bachelors;Management;1;3;Person;Poor
Alfredo Romero;78;M;M;60000,00;5;0;Bachelors;Management;1;3;Person;Poor
Andrea Morris;78;M;F;70000,00;3;1;Bachelors;Management;0;1;Person;Standard
Brooke Sanders;78;S;F;70000,00;4;1;Bachelors;Management;1;1;Person;Standard
Jacqueline Bennett;78;M;F;70000,00;4;1;Bachelors;Management;1;1;Person;Standard
Jason Griffin;77;M;M;70000,00;4;1;Bachelors;Management;1;1;Person;Standard
Amanda Foster;77;M;F;70000,00;4;1;Bachelors;Management;1;1;Person;Standard
Alexia Price;77;M;F;80000,00;5;0;Bachelors;Management;0;2;Person;Poor
Luis Diaz;76;M;M;40000,00;2;1;High School;Professional;1;2;Person;Standard
Destiny Rivera;76;M;F;40000,00;2;1;High School;Professional;1;2;Person;Standard
Abby Fernandez;76;M;F;40000,00;2;1;High School;Professional;1;2;Person;Standard
Blake Flores;76;M;M;60000,00;2;1;Partial College;Professional;1;1;Person;Standard
Danielle Cox;76;S;F;60000,00;2;1;Partial College;Professional;1;1;Person;Standard
Maria Reed;76;M;F;60000,00;2;1;Bachelors;Management;1;0;Person;Standard
Allison Evans;76;M;F;60000,00;2;1;Bachelors;Management;1;0;Person;Standard
Edward Wood;76;M;M;70000,00;4;1;Partial College;Professional;1;2;Person;Standard
Samantha Russell;75;M;F;40000,00;2;1;High School;Professional;1;2;Person;Standard
Chloe Campbell;75;M;F;40000,00;2;1;High School;Professional;1;2;Person;Standard
Stephanie Murphy;75;S;F;60000,00;2;1;Partial College;Professional;1;2;Person;Standard
Charles Miller;75;S;M;60000,00;2;1;Partial College;Professional;1;2;Person;Standard
Ana Perry;74;M;F;40000,00;2;1;Partial High School;Skilled Manual;1;2;Person;Standard
Jasmine Torres;74;S;F;60000,00;2;1;Partial College;Professional;1;2;Person;Standard
Natalie Adams;74;S;F;60000,00;2;1;Partial College;Professional;1;2;Person;Standard
Olivia Brown;74;S;F;60000,00;2;1;Partial College;Professional;0;2;Person;Standard
Charles Cook;74;M;M;60000,00;2;1;High School;Professional;1;2;Person;Standard
Erica Huang;74;M;F;60000,00;2;1;Partial College;Professional;1;1;Person;Standard
Nathan Perry;74;M;M;70000,00;4;2;Partial College;Professional;1;1;Person;Standard
Alexandra Rivera;74;M;F;80000,00;3;1;Bachelors;Management;1;1;Person;Standard
Hailey Patterson;73;S;F;70000,00;2;1;High School;Professional;1;2;Person;Standard
Tiffany Li;73;S;F;70000,00;2;1;High School;Professional;1;2;Person;Standard
Madison Lee;73;M;F;60000,00;2;1;Partial College;Professional;1;1;Person;Standard
Sydney Ross;73;M;F;60000,00;2;1;Partial College;Professional;1;1;Person;Standard
Marshall Chavez;73;S;M;60000,00;2;1;Partial College;Professional;1;2;Person;Standard
Ashley Jones;73;M;F;60000,00;2;1;Partial College;Professional;1;2;Person;Standard
Adrian Stewart;73;S;M;70000,00;4;2;Partial College;Professional;1;1;Person;Standard
Amber Turner;73;M;F;70000,00;4;2;Partial College;Professional;0;2;Person;Standard
Dennis Zhang;72;M;M;60000,00;2;1;High School;Professional;1;2;Person;Standard
Hailey Bryant;72;M;F;60000,00;3;1;High School;Professional;0;2;Person;Standard
Todd Li;72;M;M;70000,00;4;2;Partial College;Professional;1;2;Person;Standard
Anna Griffin;72;S;F;70000,00;4;2;Partial College;Professional;1;2;Person;Standard
Angel Stewart;72;M;M;70000,00;4;2;Partial College;Professional;1;2;Person;Standard
Jeremy Butler;72;S;M;70000,00;5;2;Partial College;Professional;1;2;Person;Poor
Clarence Anand;66;S;M;130000,00;2;3;Bachelors;Management;0;4;Person;Good
Mayra Prasad;66;S;F;130000,00;2;3;Bachelors;Management;0;4;Person;Good
Latoya Goel;66;M;F;130000,00;2;4;Partial College;Professional;0;2;Person;Good
Anne Hernandez;66;M;F;160000,00;2;3;Partial College;Professional;1;4;Person;Good
Lisa Cai;67;S;F;100000,00;2;3;Partial College;Professional;1;4;Person;Good
Larry Munoz;67;M;M;110000,00;2;4;Partial College;Professional;1;3;Person;Good
Robin Alvarez;67;M;F;150000,00;2;3;Partial College;Professional;1;3;Person;Good
Alexis Coleman;67;S;F;170000,00;2;3;Bachelors;Management;0;3;Person;Good
Ricky Vazquez;68;M;M;120000,00;3;4;High School;Professional;0;4;Person;Standard
Latasha Rubio;68;M;F;120000,00;3;4;High School;Professional;0;4;Person;Standard
Claudia Zhou;68;S;F;130000,00;3;4;Partial College;Professional;0;3;Person;Standard
Tristan Alexander;69;M;M;110000,00;3;4;Partial College;Professional;1;4;Person;Standard
Cindy Patel;69;M;F;130000,00;3;4;Partial College;Professional;1;3;Person;Standard
Shannon Liu;69;M;F;170000,00;3;4;High School;Professional;1;2;Person;Good
Xavier Long;92;S;M;30000,00;4;0;High School;Professional;0;2;Person;Poor
Nicholas Thompson;92;S;M;90000,00;3;0;Graduate Degree;Management;1;1;Person;Standard
José Hernandez;91;M;M;60000,00;2;0;Graduate Degree;Management;1;2;Person;Standard
Johnathan Vance;91;M;M;70000,00;4;0;Graduate Degree;Management;1;2;Person;Standard
Colin Lin;91;M;M;70000,00;4;0;Graduate Degree;Management;1;2;Person;Standard
Katelyn Hernandez;91;M;F;70000,00;4;0;Graduate Degree;Management;1;2;Person;Standard
Jacqueline Powell;91;S;F;120000,00;1;2;Graduate Degree;Management;1;4;Person;Good
Xavier Hill;91;M;M;120000,00;1;2;Graduate Degree;Management;1;4;Person;Good
Victoria Stewart;59;M;F;100000,00;4;1;Partial College;Professional;1;4;Person;Standard
Katelyn Kelly;59;M;F;110000,00;2;2;Bachelors;Management;1;3;Person;Good
Stephanie Collins;59;M;F;130000,00;1;2;Graduate Degree;Management;1;1;Person;Good
Jennifer Simmons;60;M;F;80000,00;4;3;Bachelors;Management;1;0;Person;Standard
Trinity Richardson;60;M;F;90000,00;5;5;Partial College;Professional;1;3;Person;Standard
Eduardo Martin;60;S;M;90000,00;5;5;Partial College;Professional;0;3;Person;Standard
Elizabeth Jones;60;M;F;90000,00;5;5;Partial College;Professional;1;3;Person;Standard
Taylor Howard;60;S;F;90000,00;0;0;Partial College;Professional;0;1;Person;Good
David Diaz;60;S;M;120000,00;4;2;Partial College;Professional;1;4;Person;Standard
Katelyn Carter;60;M;F;130000,00;2;2;Graduate Degree;Management;1;2;Person;Good
Ryan Foster;60;M;M;130000,00;2;2;Graduate Degree;Management;1;2;Person;Good
Robert Lee;60;M;M;130000,00;2;2;Graduate Degree;Management;1;3;Person;Good
Danielle Reed;60;S;F;150000,00;2;0;Bachelors;Management;0;4;Person;Good
Lauren Martinez;68;S;F;70000,00;4;3;Partial College;Professional;1;0;Person;Standard
Nathan Lal;68;M;M;90000,00;2;1;Partial College;Professional;1;0;Person;Standard
Kyle Foster;90;M;M;50000,00;2;0;Graduate Degree;Management;1;2;Person;Standard
Jenny Rai;90;M;F;80000,00;4;0;Graduate Degree;Management;1;2;Person;Standard
Nancy Chapman;61;M;F;80000,00;4;3;Partial College;Professional;1;2;Person;Standard
Charles Jackson;61;M;M;80000,00;4;3;Partial College;Professional;1;2;Person;Standard
Jonathan Phillips;61;S;M;90000,00;0;0;Partial College;Professional;0;1;Person;Good
Amanda Cook;61;M;F;90000,00;0;0;Partial College;Professional;1;1;Person;Good
Robert Collins;61;M;M;90000,00;0;0;Partial College;Professional;1;1;Person;Good
Megan Barnes;61;S;F;110000,00;4;2;Bachelors;Management;1;4;Person;Standard
Christian Thomas;62;M;M;90000,00;5;4;Partial College;Professional;1;4;Person;Standard
Arturo Lal;62;M;M;110000,00;1;3;Bachelors;Management;1;2;Person;Good
Theresa Serrano;62;M;F;110000,00;1;3;Bachelors;Management;1;2;Person;Good
Jeremy Anderson;62;M;M;120000,00;1;3;Partial College;Professional;0;4;Person;Good
Hunter Griffin;62;M;M;170000,00;0;0;Graduate Degree;Management;1;4;Person;Good
Henry Garcia;63;M;M;70000,00;5;4;Partial College;Professional;0;3;Person;Poor
Cindy Sanchez;63;M;F;110000,00;1;3;Bachelors;Management;1;3;Person;Good
Maria Carter;63;M;F;130000,00;1;3;Bachelors;Management;1;1;Person;Good
Katelyn Sanchez;63;M;F;130000,00;1;3;Bachelors;Management;1;3;Person;Good
Jenna Wright;63;M;F;130000,00;1;3;Bachelors;Management;1;3;Person;Good
Seth Phillips;63;S;M;150000,00;1;2;Partial College;Professional;0;3;Person;Good
Luke Long;69;S;M;60000,00;2;0;High School;Professional;0;2;Person;Standard
Dalton Clark;69;M;M;60000,00;2;0;High School;Professional;0;2;Person;Standard
Taylor Lewis;70;S;F;80000,00;2;0;Partial High School;Skilled Manual;1;2;Person;Standard
Haley Richardson;89;S;F;50000,00;2;0;Graduate Degree;Management;1;2;Person;Standard
Noah Coleman;89;S;M;70000,00;4;0;Graduate Degree;Management;1;2;Person;Standard
Jon Luo;89;M;M;70000,00;4;0;Graduate Degree;Management;1;2;Person;Standard
Orlando Vazquez;88;M;M;70000,00;4;0;Graduate Degree;Management;1;2;Person;Standard
Fernando Barnes;64;M;M;80000,00;5;4;Partial College;Professional;0;3;Person;Poor
Cameron Rodriguez;64;M;M;80000,00;5;4;Partial College;Professional;1;4;Person;Poor
Spencer Russell;64;S;M;90000,00;4;3;High School;Professional;0;3;Person;Standard
Julia Coleman;64;S;F;90000,00;4;3;High School;Professional;0;3;Person;Standard
Julia Garcia;64;M;F;100000,00;0;3;Partial College;Professional;1;0;Person;Good
Sean Evans;64;M;M;110000,00;3;3;Partial College;Professional;0;4;Person;Standard
Micah Zhou;64;M;M;110000,00;3;3;Partial College;Professional;0;4;Person;Standard
Hunter Rodriguez;70;M;M;80000,00;2;0;Partial High School;Skilled Manual;1;2;Person;Standard
Ian Gonzales;70;M;M;60000,00;2;0;High School;Professional;0;2;Person;Standard
Victoria Lewis;70;S;F;60000,00;2;0;High School;Professional;1;2;Person;Standard
Erin Sanders;71;S;F;70000,00;3;0;Graduate Degree;Management;1;2;Person;Standard
Gabrielle Lopez;71;S;F;70000,00;3;0;Graduate Degree;Management;0;2;Person;Standard
